species,longitude,latitude,eventDate,coordinateUncertaintyM,basisOfRecord,license
Macropus giganteus,149.35818,-35.25028,2024-05-12,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,149.253793,-30.500435,2023-05-16,100.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,153.167674,-29.4729,2024-04-23,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,149.7619,-32.348183,2023-05-15,20.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,151.149017,-32.40173,2020-01-26,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,144.15952,-38.32925,2020-11-13,10.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,149.710416,-33.57068,2022-09-13,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,143.60233,-38.53259,2022-05-08,1.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,150.603651,-34.65205,2025-04-06,500.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.79539,-33.7954,2024-08-27,500.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,149.200208,-35.43864,2020-08-11,500.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,141.62132,-38.03922,2022-10-10,10.0,OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.14841,-33.2231,2024-07-11,10.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,143.07311,-36.86558,2021-07-15,700.0,OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,148.432798,-36.453051,2025-06-11,500.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,144.89305,-37.61381,2021-01-14,5.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,148.30395,-36.96658,2022-04-01,5.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,150.6946,-31.391086,2023-10-29,50.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.05284,-30.53914,2022-08-08,5.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.844618,-33.72564,2023-07-11,500.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.617168,-35.021385,2023-09-07,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,153.089481,-30.152238,2023-07-30,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,152.813492,-31.495056,2020-05-10,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,152.159818,-29.918323,2021-05-07,10.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.28566,-30.36344,2022-05-28,50.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.719742,-33.609436,2023-06-01,50.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.71464,-33.743746,2024-11-29,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,146.28162,-34.606569,2022-05-08,500.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,152.905478,-31.467655,2021-06-13,500.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,143.39059,-37.29235,2021-12-13,1.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,149.198432,-35.365386,2023-10-27,500.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,151.894516,-30.017817,2021-04-18,10.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.038149,-33.006945,2024-06-11,10.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.234248,-35.675709,2021-10-05,10.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,143.29968,-37.05126,2025-03-13,10.0,OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,144.51064,-36.90311,2021-10-23,1.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,150.3332,-30.43356,2022-12-21,50.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.576459,-35.050385,2022-02-05,500.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.282939,-30.349631,2025-10-10,50.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.49378,-34.866167,2023-08-13,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.303711,-34.57965,2023-12-29,500.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,153.00243,-30.58342,2025-03-05,500.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,149.195369,-30.587051,2020-03-30,100.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,151.380749,-32.661285,2021-08-24,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,142.39824,-37.20612,2023-11-28,1.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,150.03881,-33.041078,2024-03-09,10.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,144.55083,-37.78361,2022-02-03,1000.0,OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.262588,-33.384566,2020-04-02,100.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,143.99399,-38.48011,2020-09-29,10.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,149.231293,-30.634992,2021-04-12,100.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,149.83624,-30.655052,2025-10-06,50.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.285431,-30.732599,2024-11-23,50.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
