species,latitude,longitude,coordinate_uncertainty_m,basis_of_record,event_date
Phascolarctos cinereus,-38.352826,146.748212,5.0,HUMAN_OBSERVATION,2014-03-28
Phascolarctos cinereus,-34.72383,135.84115,250.0,HUMAN_OBSERVATION,2024-11-01
Phascolarctos cinereus,-36.294306,149.324831,10.0,HUMAN_OBSERVATION,2022-08-30
Phascolarctos cinereus,-38.3614,143.2665,500.0,OCCURRENCE,2000-04-04
Phascolarctos cinereus,-37.818843,144.232374,383.0,HUMAN_OBSERVATION,2025-03-01
Phascolarctos cinereus,-38.833153,143.512512,8.0,HUMAN_OBSERVATION,2025-10-26
Phascolarctos cinereus,-34.758908,146.543603,,HUMAN_OBSERVATION,2022-07-27
Phascolarctos cinereus,-33.590697,149.505053,10.0,HUMAN_OBSERVATION,1997-09-18
Phascolarctos cinereus,-34.933675,138.703269,138.0,HUMAN_OBSERVATION,2025-08-16
Phascolarctos cinereus,-33.597755,149.508639,10.0,HUMAN_OBSERVATION,2000-05-08
Phascolarctos cinereus,-34.933007,138.708787,,HUMAN_OBSERVATION,2025-06-08
Phascolarctos cinereus,-37.646226,144.494592,703.0,HUMAN_OBSERVATION,2025-03-25
Phascolarctos cinereus,-34.503803,150.153575,50.0,HUMAN_OBSERVATION,2015-11-06
Phascolarctos cinereus,-37.54836,144.02594,1000.0,OCCURRENCE,1991-07-12
Phascolarctos cinereus,-34.756681,146.542086,10.0,HUMAN_OBSERVATION,2017-09-16
Phascolarctos cinereus,-34.904368,138.614716,5.0,HUMAN_OBSERVATION,2025-10-31
Phascolarctos cinereus,-34.766046,146.605435,4.0,HUMAN_OBSERVATION,2024-10-22
Phascolarctos cinereus,-38.312887,146.429153,18.0,HUMAN_OBSERVATION,2021-12-09
Phascolarctos cinereus,-34.882181,138.841195,81.0,HUMAN_OBSERVATION,2017-01-16
Phascolarctos cinereus,-35.212119,138.709298,432.0,HUMAN_OBSERVATION,2025-09-08
Phascolarctos cinereus,-37.821707,144.174383,3.0,HUMAN_OBSERVATION,2023-12-22
Phascolarctos cinereus,-36.193279,149.291499,10.0,HUMAN_OBSERVATION,2011-10-28
Phascolarctos cinereus,-37.4235,144.54299,900.0,OCCURRENCE,1993-11-29
Phascolarctos cinereus,-37.49107,144.07685,1000.0,OCCURRENCE,1995-08-26
Phascolarctos cinereus,-33.560088,149.476127,3.0,HUMAN_OBSERVATION,2019-05-06
Phascolarctos cinereus,-33.620227,149.493274,10.0,HUMAN_OBSERVATION,2001-12-01
Phascolarctos cinereus,-34.337234,150.448224,10.0,HUMAN_OBSERVATION,2023-10-23
Phascolarctos cinereus,-37.922263,147.727355,4.0,HUMAN_OBSERVATION,2023-11-15
Phascolarctos cinereus,-34.86458,138.659383,76.0,HUMAN_OBSERVATION,2024-09-19
Phascolarctos cinereus,-33.547029,149.60775,500.0,HUMAN_OBSERVATION,2024-12-30
Phascolarctos cinereus,-34.999597,138.705185,,HUMAN_OBSERVATION,2024-11-25
Phascolarctos cinereus,-37.49142,144.20906,5.0,OBSERVATION,2019-03-24
Phascolarctos cinereus,-31.162236,150.22542,,HUMAN_OBSERVATION,2013-11-10
Phascolarctos cinereus,-34.491764,150.176238,50.0,HUMAN_OBSERVATION,2016-02-22
Phascolarctos cinereus,-36.701182,149.35825,100.0,HUMAN_OBSERVATION,1999-11-16
Phascolarctos cinereus,-33.775948,150.0628,3.0,HUMAN_OBSERVATION,2021-02-28
Phascolarctos cinereus,-33.60118,149.510943,10.0,HUMAN_OBSERVATION,1999-10-01
Phascolarctos cinereus,-37.922224,147.727658,8.0,HUMAN_OBSERVATION,2025-06-27
Phascolarctos cinereus,-38.1821,141.5665,900.0,OBSERVATION,2015-11-15
Phascolarctos cinereus,-36.192558,149.307401,10.0,HUMAN_OBSERVATION,2011-09-01
Phascolarctos cinereus,-34.953938,138.689535,50.0,HUMAN_OBSERVATION,2025-05-24
Phascolarctos cinereus,-34.893457,138.625801,305.0,HUMAN_OBSERVATION,2024-10-30
Phascolarctos cinereus,-34.533622,150.125525,10.0,HUMAN_OBSERVATION,2015-12-09
Phascolarctos cinereus,-31.11514,150.264363,30.0,HUMAN_OBSERVATION,2012-06-28
Phascolarctos cinereus,-38.474074,146.577279,,HUMAN_OBSERVATION,2025-01-12
Phascolarctos cinereus,-30.915661,149.29865,100.0,HUMAN_OBSERVATION,1997-12-11
Phascolarctos cinereus,-34.186396,150.068211,100.0,HUMAN_OBSERVATION,2001-01-27
Phascolarctos cinereus,-21.429697,148.88675,,HUMAN_OBSERVATION,2024-08-27
Phascolarctos cinereus,-32.563504,149.617153,100.0,HUMAN_OBSERVATION,2025-10-11
Phascolarctos cinereus,-22.89884,148.31954,150.0,OCCURRENCE,
Phascolarctos cinereus,-37.921354,147.728552,8.0,HUMAN_OBSERVATION,2026-06-12
Phascolarctos cinereus,-36.658158,149.947936,10.0,HUMAN_OBSERVATION,2013-10-03
Phascolarctos cinereus,-19.160411,146.83691,100.0,HUMAN_OBSERVATION,1997-11-08
Phascolarctos cinereus,-34.868583,138.677978,4.0,HUMAN_OBSERVATION,2023-09-16
Phascolarctos cinereus,-33.776777,150.071494,10.0,HUMAN_OBSERVATION,2021-02-10
Phascolarctos cinereus,-35.016418,138.659118,,HUMAN_OBSERVATION,2012-11-28
Phascolarctos cinereus,-37.3184,143.39107,100.0,OCCURRENCE,2001-03-26
Phascolarctos cinereus,-37.73794,145.14172,100.0,OCCURRENCE,1995-07-24
Phascolarctos cinereus,-36.291326,149.348462,20.0,HUMAN_OBSERVATION,2023-10-20
Phascolarctos cinereus,-30.465199,148.787719,10.0,HUMAN_OBSERVATION,2002-10-23
Phascolarctos cinereus,-33.593295,149.508837,10.0,HUMAN_OBSERVATION,2000-04-12
Phascolarctos cinereus,-19.125336,146.87764,361.0,HUMAN_OBSERVATION,2019-08-17
Phascolarctos cinereus,-38.265444,141.417473,54.0,HUMAN_OBSERVATION,2024-12-29
Phascolarctos cinereus,-34.967,138.696,5.0,HUMAN_OBSERVATION,2021-05-01
Phascolarctos cinereus,-38.080116,141.726499,46.0,HUMAN_OBSERVATION,2024-08-08
Phascolarctos cinereus,-35.013265,138.717595,,HUMAN_OBSERVATION,2020-02-23
Phascolarctos cinereus,-38.671642,146.164017,20.0,HUMAN_OBSERVATION,2021-06-07
Phascolarctos cinereus,-37.48662,144.29777,10.0,OCCURRENCE,2020-07-12
Phascolarctos cinereus,-37.126378,149.820437,10.0,HUMAN_OBSERVATION,1993-05-27
Phascolarctos cinereus,-38.129233,145.267212,4.0,HUMAN_OBSERVATION,2022-10-20
Phascolarctos cinereus,-38.668745,145.921662,5.0,HUMAN_OBSERVATION,2022-11-07
Phascolarctos cinereus,-24.46619,148.62917,500.0,OCCURRENCE,1997-06-25
Phascolarctos cinereus,-37.69159,145.29485,100.0,OCCURRENCE,2002-10-19
Phascolarctos cinereus,-38.12477,142.04591,100.0,OCCURRENCE,1999-01-01
Phascolarctos cinereus,-37.07981,145.51002,100.0,OCCURRENCE,1989-06-23
Phascolarctos cinereus,-37.541326,143.92803,193.0,HUMAN_OBSERVATION,2021-03-04
Phascolarctos cinereus,-35.064939,150.035952,1000.0,HUMAN_OBSERVATION,2002-04-29
Phascolarctos cinereus,-37.9808,141.43923,1000.0,OCCURRENCE,2002-03-19
Phascolarctos cinereus,-38.792478,143.616622,4.0,HUMAN_OBSERVATION,2026-07-04
Phascolarctos cinereus,-36.447979,148.729084,1000.0,HUMAN_OBSERVATION,2003-10-21
Phascolarctos cinereus,-38.634219,145.755025,323.0,HUMAN_OBSERVATION,2024-07-29
Phascolarctos cinereus,-34.176204,140.765598,,HUMAN_OBSERVATION,2012-11-28
Phascolarctos cinereus,-35.247078,138.828637,296.0,HUMAN_OBSERVATION,2023-03-01
Phascolarctos cinereus,-33.541189,149.546315,4.0,HUMAN_OBSERVATION,2021-06-17
Phascolarctos cinereus,-36.95577,145.55048,100.0,OBSERVATION,2023-02-26
Phascolarctos cinereus,-38.387,146.237213,4.0,HUMAN_OBSERVATION,2026-03-11
Phascolarctos cinereus,-38.1334,145.2794,10.0,OBSERVATION,2025-05-30
Phascolarctos cinereus,-38.786777,143.634669,452.0,HUMAN_OBSERVATION,2024-04-26
Phascolarctos cinereus,-21.698152,148.69189,,HUMAN_OBSERVATION,2022-04-28
Phascolarctos cinereus,-36.182036,149.30454,10.0,HUMAN_OBSERVATION,2024-10-11
Phascolarctos cinereus,-35.830584,145.409344,287.0,HUMAN_OBSERVATION,2018-10-28
Phascolarctos cinereus,-21.334651,148.937499,,HUMAN_OBSERVATION,2021-08-12
Phascolarctos cinereus,-34.76584,146.587803,9.0,HUMAN_OBSERVATION,2024-09-21
Phascolarctos cinereus,-35.95066,136.73796,,HUMAN_OBSERVATION,2016-02-03
Phascolarctos cinereus,-35.005528,138.608731,,HUMAN_OBSERVATION,2012-11-28
Phascolarctos cinereus,-34.533372,150.124445,10.0,HUMAN_OBSERVATION,2015-11-16
Phascolarctos cinereus,-38.58811,146.04057,159.0,OBSERVATION,2020-08-07
Phascolarctos cinereus,-38.133232,145.27145,94.0,HUMAN_OBSERVATION,2021-11-04
Phascolarctos cinereus,-37.32242,145.94202,100.0,OCCURRENCE,1996-01-01
Phascolarctos cinereus,-23.79843,147.35113,150.0,OCCURRENCE,1987-01-01
Phascolarctos cinereus,-35.837342,149.16209,10.0,HUMAN_OBSERVATION,2024-10-11
Phascolarctos cinereus,-19.121903,146.863272,74.0,HUMAN_OBSERVATION,2025-05-15
Phascolarctos cinereus,-38.366578,145.276463,679.0,HUMAN_OBSERVATION,2025-07-20
Phascolarctos cinereus,-33.61286,149.449572,50.0,HUMAN_OBSERVATION,2025-12-01
Phascolarctos cinereus,-34.868547,138.67074,4.0,HUMAN_OBSERVATION,2025-08-28
Phascolarctos cinereus,-37.80291,144.22259,8.0,HUMAN_OBSERVATION,2025-11-30
Phascolarctos cinereus,-34.535633,150.209439,50.0,HUMAN_OBSERVATION,2016-01-09
Phascolarctos cinereus,-34.601691,150.160691,50.0,HUMAN_OBSERVATION,2016-04-15
Phascolarctos cinereus,-38.04453,141.68236,100.0,OCCURRENCE,2002-05-06
Phascolarctos cinereus,-34.959276,138.699569,,HUMAN_OBSERVATION,2012-11-28
Phascolarctos cinereus,-35.051967,138.698366,,HUMAN_OBSERVATION,2012-11-28
Phascolarctos cinereus,-35.007979,138.636689,39.0,HUMAN_OBSERVATION,2024-05-04
Phascolarctos cinereus,-38.4942,143.77246,1.0,OCCURRENCE,2022-04-12
Phascolarctos cinereus,-38.14611,145.23028,900.0,OCCURRENCE,2008-12-09
Phascolarctos cinereus,-38.80639,143.52018,50.0,OBSERVATION,2021-07-13
Phascolarctos cinereus,-38.59551,146.11191,100.0,OBSERVATION,1995-12-05
Phascolarctos cinereus,-36.56902,145.77246,100.0,OBSERVATION,1990-11-27
Phascolarctos cinereus,-38.385292,145.31311,10.0,HUMAN_OBSERVATION,2024-04-12
Phascolarctos cinereus,-38.791329,143.535876,122.0,HUMAN_OBSERVATION,2010-01-22
Phascolarctos cinereus,-34.854081,138.635445,,HUMAN_OBSERVATION,2020-06-14
Phascolarctos cinereus,-33.689127,149.563827,20.0,HUMAN_OBSERVATION,2020-11-09
Phascolarctos cinereus,-33.641767,150.022739,10.0,HUMAN_OBSERVATION,2024-12-31
Phascolarctos cinereus,-35.91808,137.01033,50.0,HUMAN_OBSERVATION,2007-09-17
Phascolarctos cinereus,-22.48138,148.1344,150.0,OCCURRENCE,
Phascolarctos cinereus,-34.761539,146.537701,10.0,HUMAN_OBSERVATION,2017-06-06
Phascolarctos cinereus,-36.508095,149.99789,3.0,HUMAN_OBSERVATION,2017-08-23
Phascolarctos cinereus,-21.77809,148.88575,,HUMAN_OBSERVATION,2021-10-15
Phascolarctos cinereus,-37.46882,144.58564,10.0,OCCURRENCE,2017-06-23
Phascolarctos cinereus,-34.776133,146.593149,20.0,HUMAN_OBSERVATION,2023-08-21
Phascolarctos cinereus,-36.81542,145.78785,191.0,OBSERVATION,2020-12-28
Phascolarctos cinereus,-35.015824,138.670366,15.0,HUMAN_OBSERVATION,2021-05-02
Phascolarctos cinereus,-36.118608,148.617991,1000.0,HUMAN_OBSERVATION,1962-01-01
Phascolarctos cinereus,-21.46997,148.82674,,HUMAN_OBSERVATION,2023-01-04
Phascolarctos cinereus,-19.124286,146.870848,396.0,HUMAN_OBSERVATION,2023-08-14
Phascolarctos cinereus,-24.46619,148.62918,500.0,OCCURRENCE,1997-06-25
Phascolarctos cinereus,-36.91078,145.33821,100.0,OCCURRENCE,1989-09-16
Phascolarctos cinereus,-37.87475,143.96936,100.0,OCCURRENCE,1992-07-04
Phascolarctos cinereus,-34.602818,150.160304,50.0,HUMAN_OBSERVATION,2016-03-10
Phascolarctos cinereus,-37.73005,145.21454,100.0,OBSERVATION,2003-11-07
Phascolarctos cinereus,-35.010633,138.631839,,HUMAN_OBSERVATION,2019-02-24
Phascolarctos cinereus,-30.772749,149.073422,10.0,HUMAN_OBSERVATION,2005-07-06
Phascolarctos cinereus,-36.296967,149.313139,10.0,HUMAN_OBSERVATION,2022-08-30
Phascolarctos cinereus,-38.3819,145.285015,122.0,HUMAN_OBSERVATION,2025-12-20
Phascolarctos cinereus,-37.6555,143.72033,100.0,OCCURRENCE,1990-02-26
Phascolarctos cinereus,-35.026475,138.723192,30.0,HUMAN_OBSERVATION,2019-01-16
Phascolarctos cinereus,-33.691973,149.559906,25.0,HUMAN_OBSERVATION,2019-11-03
Phascolarctos cinereus,-37.863278,144.279212,9.0,HUMAN_OBSERVATION,2024-06-06
Phascolarctos cinereus,-34.267746,149.998447,10.0,HUMAN_OBSERVATION,2017-06-25
Phascolarctos cinereus,-34.890277,138.733348,15.0,HUMAN_OBSERVATION,2024-02-15
Phascolarctos cinereus,-36.591509,149.945212,10.0,HUMAN_OBSERVATION,2024-05-09
Phascolarctos cinereus,-37.55826,144.02555,1000.0,OCCURRENCE,1990-03-26
Phascolarctos cinereus,-36.120749,149.33017,1000.0,HUMAN_OBSERVATION,2003-09-25
Phascolarctos cinereus,-38.2928,146.5943,200.0,OCCURRENCE,2012-10-24
Phascolarctos cinereus,-31.1519,150.02914,4.0,HUMAN_OBSERVATION,2017-09-29
Phascolarctos cinereus,-34.759086,146.600158,10.0,HUMAN_OBSERVATION,2022-06-27
Phascolarctos cinereus,-29.582212,148.317596,100.0,HUMAN_OBSERVATION,1970-08-01
Phascolarctos cinereus,-34.930909,138.625854,,HUMAN_OBSERVATION,2012-11-28
Phascolarctos cinereus,-37.76465,145.17852,100.0,OCCURRENCE,2000-02-18
Phascolarctos cinereus,-36.452781,150.016392,1000.0,HUMAN_OBSERVATION,1979-01-01
Phascolarctos cinereus,-35.086114,138.567039,1500.0,HUMAN_OBSERVATION,2023-09-22
Phascolarctos cinereus,-37.640935,143.899959,,HUMAN_OBSERVATION,2025-05-08
Phascolarctos cinereus,-33.540825,149.68428,5.0,HUMAN_OBSERVATION,2020-12-31
Phascolarctos cinereus,-35.920198,145.677827,,HUMAN_OBSERVATION,2025-06-16
Phascolarctos cinereus,-33.641955,150.021733,100.0,HUMAN_OBSERVATION,2024-12-31
Phascolarctos cinereus,-38.45241,146.74612,20.0,OCCURRENCE,2021-04-06
Phascolarctos cinereus,-34.959119,138.692128,,HUMAN_OBSERVATION,2012-11-28
Phascolarctos cinereus,-36.6735,143.50965,900.0,OBSERVATION,1979-12-19
Phascolarctos cinereus,-34.892716,138.715375,8.0,HUMAN_OBSERVATION,2024-04-22
Phascolarctos cinereus,-38.360294,146.391132,421.0,HUMAN_OBSERVATION,2024-10-10
Phascolarctos cinereus,-36.295742,149.324369,10.0,HUMAN_OBSERVATION,2022-08-30
Phascolarctos cinereus,-34.906699,138.750824,,HUMAN_OBSERVATION,2012-11-28
Phascolarctos cinereus,-31.841063,150.240218,20.0,HUMAN_OBSERVATION,2023-05-22
Phascolarctos cinereus,-37.3928,144.26722,5.0,OCCURRENCE,2013-12-15
Phascolarctos cinereus,-38.777009,143.533786,,HUMAN_OBSERVATION,2018-10-11
Phascolarctos cinereus,-34.917496,138.542039,54.0,HUMAN_OBSERVATION,2019-11-30
Phascolarctos cinereus,-37.623928,143.895048,58.0,HUMAN_OBSERVATION,2026-06-01
Phascolarctos cinereus,-37.2392,144.75725,100.0,OCCURRENCE,1991-01-22
Phascolarctos cinereus,-35.036344,138.572424,50.0,HUMAN_OBSERVATION,2024-05-03
Phascolarctos cinereus,-36.010704,137.491251,,HUMAN_OBSERVATION,2019-04-06
Phascolarctos cinereus,-36.456166,148.727101,1000.0,HUMAN_OBSERVATION,2003-10-22
Phascolarctos cinereus,-37.331167,144.594178,3.0,HUMAN_OBSERVATION,2022-12-31
Phascolarctos cinereus,-31.13597,149.99608,4.0,HUMAN_OBSERVATION,2016-04-09
Phascolarctos cinereus,-34.503395,150.153469,50.0,HUMAN_OBSERVATION,2016-02-11
Phascolarctos cinereus,-38.00085,141.37556,100.0,OCCURRENCE,1998-12-04
Phascolarctos cinereus,-34.942378,138.755848,,HUMAN_OBSERVATION,2012-11-28
Phascolarctos cinereus,-37.68042,144.37648,10.0,OCCURRENCE,2019-01-30
Phascolarctos cinereus,-33.584739,149.511568,10.0,HUMAN_OBSERVATION,2000-05-22
Phascolarctos cinereus,-37.874148,142.2912,31.0,HUMAN_OBSERVATION,2026-03-23
Phascolarctos cinereus,-36.538416,149.938909,10.0,HUMAN_OBSERVATION,2024-10-28
Phascolarctos cinereus,-36.47666,149.69405,500.0,HUMAN_OBSERVATION,2016-09-23
Phascolarctos cinereus,-37.49305,144.10364,100.0,OCCURRENCE,2005-09-20
Phascolarctos cinereus,-34.886921,150.134863,1000.0,HUMAN_OBSERVATION,2002-11-05
Phascolarctos cinereus,-34.38059,150.384444,10.0,HUMAN_OBSERVATION,2017-08-23
Phascolarctos cinereus,-37.54564,143.92991,681.0,OCCURRENCE,2019-01-10
Phascolarctos cinereus,-37.30738,144.11895,900.0,OCCURRENCE,1993-01-01
Phascolarctos cinereus,-37.5073,144.46758,1000.0,OCCURRENCE,1995-09-07
Phascolarctos cinereus,-34.926028,138.718455,,HUMAN_OBSERVATION,2012-11-28
Phascolarctos cinereus,-34.93383,138.69912,100.0,HUMAN_OBSERVATION,1988-11-23
Phascolarctos cinereus,-34.493248,150.161729,50.0,HUMAN_OBSERVATION,2016-01-12
Phascolarctos cinereus,-37.3317,144.59803,5.0,OCCURRENCE,2020-10-19
Phascolarctos cinereus,-37.39017,144.24299,900.0,OBSERVATION,1986-09-19
Phascolarctos cinereus,-34.801515,150.009428,100.0,HUMAN_OBSERVATION,1997-12-17
Phascolarctos cinereus,-34.971396,138.638056,5.0,HUMAN_OBSERVATION,2020-12-14
Phascolarctos cinereus,-38.4849,143.768,1.0,MACHINE_OBSERVATION,2022-03-29
Phascolarctos cinereus,-36.149761,149.332575,10.0,HUMAN_OBSERVATION,2016-05-05
Phascolarctos cinereus,-33.625129,149.502795,10.0,HUMAN_OBSERVATION,1997-06-18
Phascolarctos cinereus,-38.46329,146.84147,20.0,OCCURRENCE,2021-08-02
Phascolarctos cinereus,-37.563204,149.76051,5.0,HUMAN_OBSERVATION,2021-12-17
Phascolarctos cinereus,-38.48494,143.7681,1.0,OCCURRENCE,2022-03-29
Phascolarctos cinereus,-37.394747,144.2728,10.0,HUMAN_OBSERVATION,2019-12-29
Phascolarctos cinereus,-28.03169,147.48251,500.0,OCCURRENCE,2002-04-05
Phascolarctos cinereus,-38.458553,144.061561,4.0,HUMAN_OBSERVATION,2025-09-25
Phascolarctos cinereus,-34.874455,138.837513,,HUMAN_OBSERVATION,2012-11-28
Phascolarctos cinereus,-35.0053,138.643262,25.0,HUMAN_OBSERVATION,2015-11-26
Phascolarctos cinereus,-38.38328,145.296064,,HUMAN_OBSERVATION,2026-03-23
Phascolarctos cinereus,-30.8664,149.15,5.0,HUMAN_OBSERVATION,2014-05-03
Phascolarctos cinereus,-21.684521,148.68644,,HUMAN_OBSERVATION,2021-09-22
Phascolarctos cinereus,-34.370469,150.367836,10.0,HUMAN_OBSERVATION,2020-10-14
Phascolarctos cinereus,-21.53628,148.76546,100.0,OCCURRENCE,
Phascolarctos cinereus,-30.849222,149.082027,100.0,HUMAN_OBSERVATION,2019-03-21
Phascolarctos cinereus,-37.62742,144.200333,5.0,HUMAN_OBSERVATION,2024-06-07
Phascolarctos cinereus,-33.596538,149.480029,10.0,HUMAN_OBSERVATION,1998-08-20
Phascolarctos cinereus,-38.49972,146.34589,100.0,OBSERVATION,2001-06-19
Phascolarctos cinereus,-37.48894,142.43061,100.0,OCCURRENCE,2002-03-04
Phascolarctos cinereus,-36.129977,149.321888,1000.0,HUMAN_OBSERVATION,2003-09-24
Phascolarctos cinereus,-38.552616,143.97522,26.0,HUMAN_OBSERVATION,2024-04-18
Phascolarctos cinereus,-34.762738,146.583477,5.0,HUMAN_OBSERVATION,2024-09-21
Phascolarctos cinereus,-37.529878,149.686664,500.0,HUMAN_OBSERVATION,2017-02-04
Phascolarctos cinereus,-36.75949,145.4143,100.0,OCCURRENCE,1997-03-22
Phascolarctos cinereus,-34.494569,150.151494,50.0,HUMAN_OBSERVATION,2016-02-26
Phascolarctos cinereus,-36.79015,145.59296,900.0,OBSERVATION,1986-11-20
Phascolarctos cinereus,-36.79451,145.78568,100.0,OCCURRENCE,1995-10-13
Phascolarctos cinereus,-34.502811,150.153163,50.0,HUMAN_OBSERVATION,2015-11-24
Phascolarctos cinereus,-21.40595,148.70042,,HUMAN_OBSERVATION,2019-10-23
Phascolarctos cinereus,-37.50683,144.42632,900.0,OBSERVATION,1977-08-09
Phascolarctos cinereus,-32.666277,149.98266,200.0,HUMAN_OBSERVATION,2025-11-12
Phascolarctos cinereus,-34.953717,138.687805,,HUMAN_OBSERVATION,2012-11-28
Phascolarctos cinereus,-30.135136,149.902435,1000.0,HUMAN_OBSERVATION,1972-09-01
Phascolarctos cinereus,-36.808997,149.590758,1000.0,HUMAN_OBSERVATION,1991-08-01
Phascolarctos cinereus,-34.802383,138.885352,,HUMAN_OBSERVATION,2012-11-28
Phascolarctos cinereus,-36.189911,149.306312,10.0,HUMAN_OBSERVATION,2011-08-23
Phascolarctos cinereus,-34.892477,138.714442,4.0,HUMAN_OBSERVATION,2024-06-11
Phascolarctos cinereus,-37.849138,144.286182,2.0,HUMAN_OBSERVATION,2023-04-27
Phascolarctos cinereus,-37.064189,145.301833,165.0,HUMAN_OBSERVATION,2019-10-26
Phascolarctos cinereus,-37.4471,144.088,1.0,MACHINE_OBSERVATION,2023-09-19
Phascolarctos cinereus,-35.033047,138.74086,,HUMAN_OBSERVATION,2012-11-28
Phascolarctos cinereus,-37.1402,141.39302,900.0,OBSERVATION,1986-02-01
Phascolarctos cinereus,-34.900512,138.628257,,HUMAN_OBSERVATION,2012-11-28
Phascolarctos cinereus,-31.084853,150.124804,100.0,HUMAN_OBSERVATION,2000-04-06
Phascolarctos cinereus,-38.833532,143.51283,35.0,HUMAN_OBSERVATION,2025-08-26
Phascolarctos cinereus,-37.529578,149.689103,20.0,HUMAN_OBSERVATION,2023-12-13
Phascolarctos cinereus,-35.014801,138.696406,,HUMAN_OBSERVATION,2012-11-28
Phascolarctos cinereus,-34.888553,138.727495,6.0,HUMAN_OBSERVATION,2024-04-20
Phascolarctos cinereus,-31.264233,150.287344,100.0,HUMAN_OBSERVATION,2000-04-11
Phascolarctos cinereus,-38.175495,145.132256,416.0,HUMAN_OBSERVATION,2020-11-04
Phascolarctos cinereus,-34.229158,150.342397,100.0,HUMAN_OBSERVATION,1998-07-15
Phascolarctos cinereus,-37.209603,148.269592,,HUMAN_OBSERVATION,2023-12-28
Phascolarctos cinereus,-36.552996,144.022468,10.0,HUMAN_OBSERVATION,2012-08-29
Phascolarctos cinereus,-27.34761,150.34745,5.0,OCCURRENCE,
Phascolarctos cinereus,-19.15073,146.84639,5.0,OCCURRENCE,
Phascolarctos cinereus,-34.876943,138.648317,54.0,HUMAN_OBSERVATION,2023-01-21
Phascolarctos cinereus,-37.225147,148.262375,5.0,HUMAN_OBSERVATION,2025-04-24
Phascolarctos cinereus,-31.14467,150.02649,4.0,HUMAN_OBSERVATION,2019-01-17
Phascolarctos cinereus,-37.99053,140.98415,10.0,OBSERVATION,2015-10-31
Phascolarctos cinereus,-36.405938,150.01707,100.0,HUMAN_OBSERVATION,1991-10-09
Phascolarctos cinereus,-37.43326,144.10436,10.0,OCCURRENCE,2023-04-17
Phascolarctos cinereus,-34.838957,138.842329,,HUMAN_OBSERVATION,2012-11-28
Phascolarctos cinereus,-36.388257,149.760652,10.0,HUMAN_OBSERVATION,2017-06-09
Phascolarctos cinereus,-34.978182,138.686279,,HUMAN_OBSERVATION,2012-11-28
Phascolarctos cinereus,-35.002923,138.61852,,HUMAN_OBSERVATION,2012-11-28
Phascolarctos cinereus,-37.18533,142.41922,100.0,OCCURRENCE,1999-09-23
Phascolarctos cinereus,-35.039477,138.679774,,HUMAN_OBSERVATION,2012-11-22
Phascolarctos cinereus,-38.37112,146.85695,5.0,OCCURRENCE,2023-07-03
Phascolarctos cinereus,-34.99303,138.69595,250.0,HUMAN_OBSERVATION,2025-11-07
Phascolarctos cinereus,-37.85887,145.67378,5.0,OCCURRENCE,2025-02-26
Phascolarctos cinereus,-38.32122,146.77624,20.0,OCCURRENCE,2021-11-21
Phascolarctos cinereus,-37.42164,144.17928,10.0,OBSERVATION,2023-04-28
Phascolarctos cinereus,-37.50884,144.17795,1800.0,OBSERVATION,1985-09-03
Phascolarctos cinereus,-35.005467,138.65562,,HUMAN_OBSERVATION,2012-11-28
Phascolarctos cinereus,-34.757127,146.582222,11.0,HUMAN_OBSERVATION,2024-12-31
Phascolarctos cinereus,-37.64436,144.51393,100.0,OBSERVATION,1988-10-12
Phascolarctos cinereus,-34.990738,138.629297,,HUMAN_OBSERVATION,2019-08-26
Phascolarctos cinereus,-34.775234,146.583024,20.0,HUMAN_OBSERVATION,2023-08-21
Phascolarctos cinereus,-37.875736,144.177521,,HUMAN_OBSERVATION,2011-04-30
Phascolarctos cinereus,-37.079247,144.285936,400.0,HUMAN_OBSERVATION,2015-12-21
Phascolarctos cinereus,-37.923384,147.731448,,HUMAN_OBSERVATION,2025-08-18
Phascolarctos cinereus,-37.6287,143.8801,10.0,OCCURRENCE,2012-12-07
Phascolarctos cinereus,-33.620177,149.509051,10.0,HUMAN_OBSERVATION,1998-01-02
Phascolarctos cinereus,-35.17371,138.585556,263.0,HUMAN_OBSERVATION,2019-10-06
Phascolarctos cinereus,-21.41861,148.90262,,HUMAN_OBSERVATION,2023-08-09
Phascolarctos cinereus,-37.5506,149.7374,50.0,OBSERVATION,2019-10-08
Phascolarctos cinereus,-34.890824,138.733184,61.0,HUMAN_OBSERVATION,2023-10-09
Phascolarctos cinereus,-30.611728,149.30542,10.0,HUMAN_OBSERVATION,2003-02-27
Phascolarctos cinereus,-33.779367,150.056854,3.0,HUMAN_OBSERVATION,2019-08-05
Phascolarctos cinereus,-38.354012,146.387998,4.0,HUMAN_OBSERVATION,2021-12-30
Phascolarctos cinereus,-38.83388,143.522613,4.0,HUMAN_OBSERVATION,2026-01-02
Phascolarctos cinereus,-37.13655,144.36744,100.0,OBSERVATION,1998-11-09
Phascolarctos cinereus,-37.83708,145.3973,100.0,OCCURRENCE,2017-02-14
Phascolarctos cinereus,-35.017743,138.629318,1000.0,HUMAN_OBSERVATION,2014-11-09
Phascolarctos cinereus,-34.905272,138.707062,4.0,HUMAN_OBSERVATION,2023-10-31
Phascolarctos cinereus,-34.888818,138.734701,15.0,HUMAN_OBSERVATION,2021-09-15
Phascolarctos cinereus,-38.627997,145.727418,85.0,HUMAN_OBSERVATION,2022-02-20
