species,latitude,longitude,coordinate_uncertainty_m,basis_of_record,event_date
Macropus giganteus,-17.54119,145.3113,100.0,OCCURRENCE,2009-10-17
Macropus giganteus,-20.567988,146.110332,61.0,HUMAN_OBSERVATION,2014-04-17
Macropus giganteus,-19.12624,146.48201,500.0,OCCURRENCE,2002-03-30
Macropus giganteus,-20.518334,147.812891,15.0,HUMAN_OBSERVATION,2025-10-28
Macropus giganteus,-18.20038,144.57738,,HUMAN_OBSERVATION,2023-07-11
Macropus giganteus,-18.31262,145.46639,50.0,OCCURRENCE,
Macropus giganteus,-19.57555,144.06155,50.0,OCCURRENCE,2013-10-30
Macropus giganteus,-13.61168,142.70124,100.0,OCCURRENCE,
Macropus giganteus,-19.72898,146.76955,20.0,OCCURRENCE,2011-09-19
Macropus giganteus,-19.2325,146.6541,,HUMAN_OBSERVATION,2025-08-31
Macropus giganteus,-13.0422,142.91022,100.0,OCCURRENCE,2016-10-28
Macropus giganteus,-14.97797,143.60663,100.0,OCCURRENCE,1993-02-23
Macropus giganteus,-20.924381,149.049072,,HUMAN_OBSERVATION,2024-09-02
Macropus giganteus,-19.08067,146.1136,100.0,OCCURRENCE,2014-01-19
Macropus giganteus,-16.984521,145.415254,63.0,HUMAN_OBSERVATION,2015-01-28
Macropus giganteus,-20.90329,147.79128,50.0,OCCURRENCE,2006-07-21
Macropus giganteus,-17.70054,145.44945,33.0,OCCURRENCE,
Macropus giganteus,-19.59832,146.28445,1800.0,OCCURRENCE,1991-09-01
Macropus giganteus,-21.53523,149.47867,100.0,OCCURRENCE,2008-10-14
Macropus giganteus,-17.53844,145.30818,150.0,OCCURRENCE,2005-02-04
Macropus giganteus,-19.55221,144.22584,100.0,OCCURRENCE,2022-12-24
Macropus giganteus,-21.21583,147.8516,10.0,OCCURRENCE,2010-10-17
Macropus giganteus,-18.43591,145.32036,100.0,OCCURRENCE,2007-12-30
Macropus giganteus,-20.924608,149.049331,23.0,HUMAN_OBSERVATION,2026-01-16
Macropus giganteus,-20.53595,146.10111,900.0,OCCURRENCE,1986-03-28
Macropus giganteus,-17.46301,145.27588,100.0,OCCURRENCE,2005-08-02
Macropus giganteus,-17.62954,145.28943,150.0,OCCURRENCE,2001-11-21
Macropus giganteus,-18.042886,144.883728,13.0,HUMAN_OBSERVATION,2026-07-24
Macropus giganteus,-16.920057,145.777293,16.0,HUMAN_OBSERVATION,2026-02-04
Macropus giganteus,-33.902747,138.595812,5.0,HUMAN_OBSERVATION,2025-02-16
Macropus giganteus,-17.63716,145.44579,150.0,OCCURRENCE,2000-04-01
Macropus giganteus,-17.47822,145.27227,100.0,OCCURRENCE,2011-06-13
Macropus giganteus,-19.41253,144.15454,,HUMAN_OBSERVATION,
Macropus giganteus,-19.45211,144.16415,,HUMAN_OBSERVATION,
Macropus giganteus,-20.924086,149.048678,232.0,HUMAN_OBSERVATION,2023-09-06
Macropus giganteus,-17.41054,145.35157,100.0,OCCURRENCE,2009-01-16
Macropus giganteus,-15.4186,145.07584,33.0,OCCURRENCE,
Macropus giganteus,-18.31804,145.38279,33.0,OCCURRENCE,
Macropus giganteus,-19.52975,144.23732,,HUMAN_OBSERVATION,
Macropus giganteus,-19.27347,144.35458,10.0,OCCURRENCE,2007-03-15
Macropus giganteus,-19.53173,144.24206,,HUMAN_OBSERVATION,
Macropus giganteus,-14.94121,143.55433,100.0,OCCURRENCE,2017-06-13
Macropus giganteus,-17.48784,145.27973,100.0,OCCURRENCE,2009-12-16
Macropus giganteus,-20.926916,148.988525,,HUMAN_OBSERVATION,2020-02-21
Macropus giganteus,-19.06755,144.40695,500.0,OCCURRENCE,1997-12-04
Macropus giganteus,-21.69987,146.86376,800.0,OCCURRENCE,
Macropus giganteus,-15.1788,144.34879,1500.0,OCCURRENCE,1979-12-31
Macropus giganteus,-14.32626,143.33606,100.0,OCCURRENCE,2013-09-07
Macropus giganteus,-19.40538,146.67611,2000.0,OCCURRENCE,1998-07-01
Macropus giganteus,-35.08229,139.09985,100.0,HUMAN_OBSERVATION,2016-09-27
Macropus giganteus,-13.91638,143.12362,100.0,OCCURRENCE,
Macropus giganteus,-20.14693,146.79834,500.0,OCCURRENCE,1972-05-17
Macropus giganteus,-17.53951,145.30841,100.0,OCCURRENCE,2008-11-18
Macropus giganteus,-21.43991,148.51983,100.0,OCCURRENCE,2002-04-24
Macropus giganteus,-21.72491,146.89222,250.0,OCCURRENCE,2015-12-08
Macropus giganteus,-17.6181,145.30238,100.0,OCCURRENCE,2005-08-03
Macropus giganteus,-17.340803,144.93718,4.0,HUMAN_OBSERVATION,2024-08-03
Macropus giganteus,-32.343983,138.042766,,HUMAN_OBSERVATION,2024-03-29
Macropus giganteus,-15.21096,144.49695,1800.0,OCCURRENCE,1979-01-01
Macropus giganteus,-21.655223,150.261045,,HUMAN_OBSERVATION,2022-08-13
Macropus giganteus,-20.56345,145.88051,300.0,OCCURRENCE,2016-02-19
Macropus giganteus,-14.44519,143.39209,100.0,OCCURRENCE,2010-11-01
Macropus giganteus,-19.53965,145.750595,3.0,HUMAN_OBSERVATION,2025-10-08
Macropus giganteus,-17.26848,145.45297,400.0,OCCURRENCE,
Macropus giganteus,-20.65665,148.71778,1800.0,OCCURRENCE,1987-01-01
Macropus giganteus,-34.889802,138.716034,,HUMAN_OBSERVATION,2019-04-23
Macropus giganteus,-19.78028,144.23889,50.0,OCCURRENCE,
Macropus giganteus,-15.67832,145.01223,100.0,OCCURRENCE,2015-01-02
Macropus giganteus,-20.925325,149.048492,4.0,HUMAN_OBSERVATION,2025-09-16
Macropus giganteus,-19.15815,146.11389,100.0,OCCURRENCE,2010-09-20
Macropus giganteus,-17.45867,145.27785,150.0,OCCURRENCE,2004-01-27
Macropus giganteus,-19.42856,146.726976,304.0,HUMAN_OBSERVATION,2023-04-01
Macropus giganteus,-17.53759,145.30727,100.0,OCCURRENCE,2009-09-21
Macropus giganteus,-20.922704,149.047315,379.0,HUMAN_OBSERVATION,2025-09-28
Macropus giganteus,-35.613812,138.254456,,HUMAN_OBSERVATION,2007-03-24
Macropus giganteus,-20.108285,148.499428,4.0,HUMAN_OBSERVATION,2024-10-21
Macropus giganteus,-19.78389,144.25556,100.0,OCCURRENCE,
Macropus giganteus,-18.201551,144.571494,22.0,HUMAN_OBSERVATION,2025-05-01
Macropus giganteus,-18.49435,144.7431,50.0,OCCURRENCE,2002-12-13
Macropus giganteus,-20.65643,141.76068,50.0,OCCURRENCE,2019-11-23
Macropus giganteus,-18.3,144.6,,HUMAN_OBSERVATION,2022-02-16
Macropus giganteus,-19.00319,144.98364,100.0,OCCURRENCE,
Macropus giganteus,-15.90887,142.14176,100.0,OCCURRENCE,2020-11-02
Macropus giganteus,-19.444766,146.714481,357.0,HUMAN_OBSERVATION,2023-06-18
Macropus giganteus,-18.3323,145.36827,20.0,OCCURRENCE,2020-09-16
Macropus giganteus,-13.37365,142.63633,100.0,OCCURRENCE,2016-11-01
Macropus giganteus,-16.679121,145.248333,,HUMAN_OBSERVATION,
Macropus giganteus,-15.68506,144.5945,100.0,OCCURRENCE,
Macropus giganteus,-16.55761,145.13055,100.0,OCCURRENCE,2013-05-24
Macropus giganteus,-19.55216,144.22792,20.0,OCCURRENCE,2009-05-28
Macropus giganteus,-19.426857,146.715866,652.0,HUMAN_OBSERVATION,2024-02-18
Macropus giganteus,-14.7378,143.49963,1000.0,OCCURRENCE,1978-05-21
Macropus giganteus,-33.848829,138.485201,,HUMAN_OBSERVATION,2026-08-03
Macropus giganteus,-20.6524,146.58355,50.0,OCCURRENCE,2011-06-06
Macropus giganteus,-16.924508,145.360333,66.0,HUMAN_OBSERVATION,2016-10-07
Macropus giganteus,-18.16147,145.4631,50.0,OCCURRENCE,2002-12-28
Macropus giganteus,-34.973761,138.709204,,HUMAN_OBSERVATION,2019-04-25
Macropus giganteus,-20.0113,146.9897,,HUMAN_OBSERVATION,2024-07-28
Macropus giganteus,-21.61001,146.91037,100.0,OCCURRENCE,
Macropus giganteus,-17.62888,145.29001,33.0,OCCURRENCE,
Macropus giganteus,-21.62815,148.10348,100.0,OCCURRENCE,
Macropus giganteus,-17.379794,145.384102,1061.0,HUMAN_OBSERVATION,2026-06-15
Macropus giganteus,-21.39504,148.2409,,HUMAN_OBSERVATION,2025-07-21
Macropus giganteus,-19.034521,146.421308,61.0,HUMAN_OBSERVATION,2024-07-26
Macropus giganteus,-31.515,139.2631,,MATERIAL_SAMPLE,
Macropus giganteus,-21.12956,147.78416,50.0,OCCURRENCE,2006-08-10
Macropus giganteus,-19.328514,146.758252,85.0,HUMAN_OBSERVATION,2025-07-07
Macropus giganteus,-16.594201,145.210456,,MACHINE_OBSERVATION,2025-04-17
Macropus giganteus,-17.53661,145.30537,150.0,OCCURRENCE,2003-07-08
Macropus giganteus,-17.642719,145.428558,10.0,HUMAN_OBSERVATION,2020-03-20
Macropus giganteus,-18.22361,144.66357,100.0,OCCURRENCE,2007-01-01
Macropus giganteus,-19.08868,146.09651,100.0,OCCURRENCE,2015-05-15
Macropus giganteus,-20.653862,148.683992,2.0,HUMAN_OBSERVATION,2026-05-18
Macropus giganteus,-12.933045,142.856779,,MACHINE_OBSERVATION,2025-08-11
Macropus giganteus,-17.49643,145.28426,100.0,OCCURRENCE,2007-03-30
Macropus giganteus,-20.58456,145.85251,300.0,OCCURRENCE,2016-02-19
Macropus giganteus,-34.71844,139.16906,50.0,HUMAN_OBSERVATION,2015-03-31
Macropus giganteus,-20.65757,141.74513,1000.0,OCCURRENCE,2020-03-11
Macropus giganteus,-17.6331,145.2866,100.0,OCCURRENCE,2008-11-12
Macropus giganteus,-18.17058,145.47383,50.0,OCCURRENCE,2002-12-28
Macropus giganteus,-19.07405,146.42414,500.0,OCCURRENCE,1997-10-11
