series,samplePointCount,sourceFile,year,month,monthName,temperatureC,precipitationMm,validTemperaturePointCount,validRainfallPointCount
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2020,11,Nov,20.0,51.1,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2020,12,Dec,20.4,132.6,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2021,1,Jan,21.6,91.5,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2021,2,Feb,21.0,107.1,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2021,3,Mar,19.4,291.5,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2021,4,Apr,16.3,28.1,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2021,5,May,13.8,74.0,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2021,6,Jun,11.2,74.4,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2021,7,Jul,10.7,48.8,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2021,8,Aug,12.1,64.7,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2021,9,Sep,14.1,51.0,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2021,10,Oct,16.2,72.6,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2021,11,Nov,17.5,168.6,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2021,12,Dec,20.2,94.7,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2022,1,Jan,22.7,129.4,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2022,2,Feb,21.2,210.9,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2022,3,Mar,20.1,374.2,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2022,4,Apr,17.6,158.8,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2022,5,May,14.3,111.0,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2022,6,Jun,10.6,25.8,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2022,7,Jul,10.7,235.8,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2022,8,Aug,12.2,63.6,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2022,9,Sep,13.7,110.0,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2022,10,Oct,16.3,175.9,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2022,11,Nov,17.0,65.8,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2022,12,Dec,18.9,43.3,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2023,1,Jan,21.7,107.8,299,299
